20210305142905126,35.2,84.1
20210305142905116,25.2,53.1
20210305142905155,14.2,16.1
20210305142905165,42.2,25.1
20210305142909842,49.2,38.1
20210305142904862,15.2,69.1
20210305142908450,91.2,54.1
20210305142909845,88.2,44.1
20210305142907865,12.2,46.1
20210305142998543,11.3,79.1
20210305142498872,11.6,89.1
20210305142843022,11.5,41.1
20210305149887465,11.4,43.1
20210305147451321,11.8,78.1
20210305142489212,11.9,94.1
20210305142949687,11.7,61.1
20210305149876542,11.1,31.1
20210305142798777,12.8,62.1
20210305142909999,10.2,67.1
